                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    2.9,                 4.6491,                 3.3392,                0.32752,                0.06283,                 0.0394,                0.01995,                  2.023,                 3.1715,                 2.3126,              0.0033324,              0.0033324,              0.0033324
                      2,                 1.7526,                 3.0364,                 1.9707,                0.27571,                0.19568,                0.15817,                0.09502,                 1.5877,                 2.3525,                 1.8028,              0.0066592,              0.0066592,              0.0066592
                      3,                 1.5625,                 2.5549,                 1.7633,                0.37491,                0.26378,                0.23739,                 0.1493,                 1.4267,                 2.0292,                 1.6388,              0.0099793,              0.0099793,              0.0099793
                      4,                 1.4636,                 2.2646,                 1.6571,                0.44661,                0.31589,                0.31167,                0.20533,                 1.3122,                 1.7664,                 1.5297,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.3791,                 2.0357,                 1.5798,                0.47601,                0.35814,                0.36062,                0.24212,                 1.2495,                 1.6206,                 1.4683,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.3281,                 1.9073,                 1.5321,                0.50694,                0.37925,                0.39371,                0.26797,                 1.2093,                 1.5301,                  1.432,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.2956,                 1.8196,                 1.5012,                0.53747,                0.38617,                0.41309,                0.28349,                 1.1835,                 1.4778,                 1.4085,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.2717,                 1.7571,                 1.4759,                0.52947,                 0.4056,                0.42568,                0.29311,                 1.1674,                  1.443,                 1.3932,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.2532,                 1.7117,                 1.4581,                0.52726,                0.41472,                0.43374,                0.30034,                 1.1552,                 1.4182,                 1.3817,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.2413,                 1.6709,                 1.4397,                0.52889,                 0.4284,                0.44085,                0.30611,                 1.1462,                 1.3995,                 1.3714,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.2291,                 1.6453,                 1.4273,                0.54993,                0.42389,                0.44678,                0.31125,                 1.1388,                 1.3832,                 1.3634,               0.009901,               0.009901,               0.009901
                     12,                 1.2194,                 1.6127,                 1.4153,                0.56017,                0.42672,                0.45324,                0.31663,                 1.1321,                 1.3667,                 1.3557,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.2084,                 1.5878,                 1.4044,                0.56616,                0.43362,                0.45957,                0.32175,                 1.1263,                 1.3505,                 1.3487,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.1994,                 1.5694,                 1.3968,                0.56989,                0.43616,                0.46596,                0.32692,                 1.1206,                  1.335,                 1.3418,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.1936,                 1.5516,                 1.3883,                0.57169,                0.44146,                0.47117,                0.33138,                 1.1148,                 1.3212,                 1.3345,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.1862,                 1.5355,                 1.3811,                0.58301,                0.44322,                0.47576,                0.33581,                 1.1092,                 1.3066,                  1.327,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.1868,                 1.5203,                 1.3754,                0.59421,                0.44512,                0.48154,                0.34049,                  1.104,                  1.293,                   1.32,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.1765,                 1.5094,                 1.3692,                0.60338,                 0.4484,                0.48647,                0.34469,                 1.0981,                 1.2799,                 1.3124,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.1778,                 1.4948,                 1.3644,                  0.616,                0.44942,                0.49186,                0.34906,                 1.0924,                 1.2674,                 1.3049,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.1712,                 1.4834,                 1.3605,                0.61905,                 0.4536,                0.49672,                0.35384,                 1.0865,                  1.255,                 1.2979,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.1691,                  1.481,                 1.3566,                0.61494,                0.45969,                 0.5018,                0.35823,                 1.0815,                  1.243,                 1.2916,               0.009802,               0.009802,               0.009802
                     22,                  1.159,                 1.4701,                   1.35,                0.62158,                0.46315,                0.50663,                0.36244,                 1.0758,                 1.2307,                 1.2851,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.1609,                 1.4613,                  1.346,                 0.6228,                0.46738,                0.51149,                0.36629,                 1.0702,                 1.2189,                 1.2785,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.1567,                 1.4509,                 1.3421,                 0.6086,                0.47665,                0.51494,                0.36941,                 1.0661,                 1.2073,                 1.2731,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.1556,                 1.4485,                  1.339,                0.60634,                0.48357,                0.51996,                0.37308,                 1.0617,                 1.1973,                 1.2674,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.1541,                 1.4361,                 1.3354,                 0.6164,                0.48516,                 0.5238,                0.37632,                 1.0586,                 1.1874,                 1.2624,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.1535,                 1.4357,                 1.3328,                0.61727,                0.48738,                0.52622,                0.37853,                 1.0549,                 1.1786,                 1.2577,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.1513,                 1.4304,                 1.3302,                0.61827,                0.49115,                0.53016,                0.38185,                 1.0515,                   1.17,                 1.2528,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.1467,                  1.422,                 1.3291,                 0.6207,                 0.4939,                0.53298,                0.38438,                 1.0489,                 1.1623,                 1.2487,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.1465,                 1.4184,                 1.3266,                 0.6192,                0.49853,                0.53595,                 0.3869,                 1.0462,                 1.1548,                 1.2449,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.1434,                 1.4106,                 1.3227,                0.62125,                0.49903,                0.53821,                0.38887,                 1.0432,                 1.1479,                  1.241,               0.009703,               0.009703,               0.009703
                     32,                 1.1393,                 1.4103,                   1.32,                0.62674,                0.50099,                0.53987,                0.39023,                  1.041,                 1.1422,                 1.2376,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.1409,                 1.4049,                 1.3181,                 0.6339,                0.49971,                0.54288,                 0.3923,                  1.039,                 1.1363,                 1.2346,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.1395,                  1.405,                 1.3162,                0.63706,                0.50221,                0.54511,                0.39422,                 1.0364,                 1.1304,                 1.2315,              0.0096733,              0.0096733,              0.0096733
                     35,                  1.138,                 1.3981,                  1.313,                0.63109,                0.50537,                 0.5469,                0.39628,                 1.0343,                  1.126,                 1.2284,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.1339,                 1.3931,                 1.3095,                0.63578,                0.50414,                0.54797,                0.39735,                 1.0333,                 1.1218,                 1.2262,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.1359,                 1.3877,                 1.3105,                0.63904,                 0.5037,                0.55014,                 0.3993,                 1.0315,                 1.1172,                 1.2235,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.1328,                 1.3828,                 1.3069,                0.63662,                0.50623,                0.55162,                0.40051,                   1.03,                  1.113,                 1.2212,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.1326,                 1.3809,                 1.3034,                0.63945,                0.50747,                0.55393,                0.40241,                 1.0288,                 1.1091,                 1.2189,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.1307,                 1.3806,                 1.3024,                0.63928,                  0.511,                0.55557,                0.40392,                 1.0272,                 1.1047,                 1.2164,              0.0096139,              0.0096139,              0.0096139
