                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5431,                 3.9174,                 4.1807,                0.00123,                0.23148,                0.00138,                0.00052,                 2.4538,                 4.0716,                 4.1494,             0.00021435,             0.00021435,             0.00021435
                      2,                 3.2792,                 2.6584,                 3.9224,                0.00094,                0.05994,                 0.0008,                0.00018,                 2.3982,                 3.7574,                 4.1019,              0.0004408,              0.0004408,              0.0004408
                      3,                 2.8298,                  2.366,                 3.6627,                0.01119,                0.29915,                0.02152,                0.00994,                  2.185,                 2.9703,                 3.8541,             0.00066498,             0.00066498,             0.00066498
                      4,                 2.4375,                 2.2351,                 3.3135,                0.01177,                0.31461,                0.01892,                0.00809,                 2.4776,                 3.0145,                 3.8088,              0.0008869,              0.0008869,              0.0008869
                      5,                 2.2428,                 1.9739,                 2.9589,                0.01269,                 0.3719,                0.03249,                0.00782,                 3.6376,                 4.9104,                 4.6573,              0.0011066,              0.0011066,              0.0011066
                      6,                 2.1237,                 1.8502,                 2.8018,                0.54966,                0.14815,                0.24868,                0.10757,                 2.0434,                 2.6191,                 3.0299,               0.001324,               0.001324,               0.001324
                      7,                 1.9906,                 1.7442,                 2.5733,                  0.103,                0.44673,                0.08981,                0.02874,                 2.8294,                 10.712,                 3.7888,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.8776,                 1.6091,                 2.4159,                0.56025,                0.26852,                0.33218,                0.12543,                 2.6998,                 2.4259,                 3.6297,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.7664,                 1.4652,                  2.297,                0.37667,                0.30108,                0.27421,                0.07337,                 3.3304,                 4.7242,                 4.5079,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.6997,                  1.516,                 2.2677,                0.78231,                0.52109,                0.64562,                 0.3561,                 1.4648,                 1.5159,                  2.206,              0.0013653,              0.0013653,              0.0013653
                     11,                 1.6188,                 1.3948,                 2.1514,                0.52825,                0.74317,                0.62509,                0.31917,                 1.4273,                 1.4853,                 2.2058,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.6015,                 1.3416,                 2.1138,                0.63585,                0.72532,                0.72061,                0.32152,                 1.8276,                 1.5653,                 2.5851,              0.0013512,              0.0013512,              0.0013512
                     13,                 1.5981,                 1.3457,                 2.1348,                0.56931,                0.72646,                0.77682,                0.40032,                 1.6576,                 1.6111,                 2.4335,              0.0013441,              0.0013441,              0.0013441
                     14,                 1.5572,                 1.3159,                 2.0768,                 0.7434,                0.69303,                0.80431,                0.42048,                  1.629,                 1.7333,                 2.3035,               0.001337,               0.001337,               0.001337
                     15,                 1.4757,                 1.2337,                 1.9753,                0.69384,                0.87358,                0.87929,                 0.4933,                 1.3786,                 1.1991,                 2.0722,                0.00133,                0.00133,                0.00133
                     16,                 1.4645,                 1.2099,                 1.9453,                0.81443,                0.81455,                0.88617,                0.51555,                  1.464,                 1.1499,                 2.1057,              0.0013229,              0.0013229,              0.0013229
                     17,                 1.4519,                 1.2019,                 1.9571,                0.76307,                0.77722,                0.88354,                0.50203,                 1.3396,                 1.2448,                 2.0346,              0.0013158,              0.0013158,              0.0013158
                     18,                 1.4847,                 1.2466,                 2.0001,                0.80086,                0.82546,                0.88784,                0.52675,                 1.2822,                 1.0835,                 1.9561,              0.0013087,              0.0013087,              0.0013087
                     19,                 1.4088,                 1.1424,                 1.9019,                0.75479,                0.81437,                 0.8553,                0.47107,                 1.2598,                 1.1961,                 1.9249,              0.0013017,              0.0013017,              0.0013017
                     20,                 1.4041,                 1.1654,                 1.9053,                0.78996,                0.86949,                0.89707,                0.55697,                 1.2532,                 1.1439,                 1.9324,              0.0012946,              0.0012946,              0.0012946
                     21,                  1.382,                 1.1326,                 1.8966,                 0.7318,                0.83763,                0.83503,                0.49104,                 1.3237,                  1.124,                 2.0146,              0.0012875,              0.0012875,              0.0012875
                     22,                 1.3578,                 1.1415,                 1.8466,                0.76971,                0.89711,                0.88856,                0.52945,                 1.2164,                 1.0472,                 1.8815,              0.0012805,              0.0012805,              0.0012805
                     23,                 1.4101,                 1.0977,                 1.8509,                0.78245,                0.81569,                0.88018,                0.53115,                  1.207,                 1.0388,                 1.8787,              0.0012734,              0.0012734,              0.0012734
                     24,                 1.3449,                 1.0706,                 1.8414,                0.82629,                0.91106,                0.91064,                0.56776,                 1.1673,                0.94528,                 1.8106,              0.0012663,              0.0012663,              0.0012663
                     25,                  1.321,                 1.0732,                 1.8496,                0.82103,                0.88163,                0.88897,                0.52827,                 1.2333,                 1.0294,                 1.8464,              0.0012592,              0.0012592,              0.0012592
